Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,15/03/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,0.0000,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,16/03/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,0.0000,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,17/03/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,0.0000,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,18/03/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,19/03/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,20/03/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,,,
N-REBGN-NS-TR21,CRE 54 Culebra Norte,Pto. de Calidad  Culebra Norte T.R.,21/03/17 09:00:00,92.0239,1.3759,0.1695,1.5454,3.5194,,,40.1208,0.0000,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,15/03/17 09:00:00,86.0411,0.0451,8.8771,8.9222,4.5403,240.9646,82.9588,36.0833,45.7960,3.1012,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,16/03/17 09:00:00,86.0899,0.0512,8.8783,8.9295,4.4879,241.5469,83.7724,36.0615,45.7779,2.2777,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,17/03/17 09:00:00,85.9631,0.0462,8.7436,8.7899,4.5395,241.8843,86.6846,36.2725,45.9672,1.8612,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,18/03/17 09:00:00,86.2048,0.0286,9.0783,9.1068,4.2354,239.4099,82.7458,35.8879,45.6025,1.8453,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,19/03/17 09:00:00,86.0954,0.0226,9.2801,9.3028,4.1560,238.9332,80.4992,35.7866,45.4623,1.5213,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,20/03/17 09:00:00,86.0568,0.0083,9.3760,9.3844,4.1026,240.5535,83.0187,35.7561,45.4136,1.3219,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,21/03/17 09:00:00,85.6353,0.0429,9.1848,9.2278,4.4757,242.3005,98.5842,36.0590,45.6611,1.6632,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,15/03/17 05:00:00,87.6758,0.0664,7.5170,7.5834,4.4045,231.0542,69.5177,36.3770,46.5131,3.5111,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,16/03/17 05:00:00,87.6575,0.0665,7.5950,7.6614,4.3433,231.1737,63.9781,36.3317,46.4531,1.8365,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,17/03/17 05:00:00,87.3330,0.0641,7.4419,7.5060,4.4828,232.4960,69.3971,36.6613,46.7215,1.7032,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,18/03/17 05:00:00,88.1154,0.0422,7.6692,7.7113,3.8834,228.9042,70.8188,36.1530,46.3256,1.6410,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,19/03/17 05:00:00,88.1381,0.0349,7.7239,7.7588,3.7929,230.3753,65.1067,36.1259,46.2907,1.5560,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,20/03/17 05:00:00,88.1150,0.0095,7.7954,7.8049,3.7899,228.6399,64.2126,36.0919,46.2562,1.5043,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,21/03/17 05:00:00,87.3341,0.0499,7.7019,7.7517,4.3865,231.4028,81.2424,36.4351,46.4846,1.6769,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,15/03/17 05:00:00,82.7788,0.0133,11.4784,11.4917,5.3082,237.4316,52.6272,35.1983,44.2538,2.9713,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,16/03/17 05:00:00,82.7576,0.0256,11.3944,11.4200,5.3696,243.5507,54.5589,35.2655,44.3222,2.7815,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,17/03/17 05:00:00,83.0378,0.0064,11.2619,11.2683,5.2463,241.9569,54.3992,35.2862,44.3958,1.6490,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,18/03/17 05:00:00,82.6009,0.0046,11.6509,11.6555,5.3003,237.0347,47.2088,35.1483,44.1618,2.2242,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,19/03/17 05:00:00,82.5159,0.0038,11.8504,11.8542,5.1948,234.5039,50.5070,35.0412,44.0178,2.1438,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,20/03/17 05:00:00,82.4707,0.0063,12.0070,12.0133,5.0983,240.0278,53.6110,34.9433,43.8940,1.7421,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,21/03/17 05:00:00,82.4317,0.0184,12.1298,12.1482,4.9978,240.9032,56.5102,34.8667,43.7913,2.1065,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,15/03/17 05:00:00,82.7788,0.0133,11.4784,11.4917,5.3082,237.4316,52.6272,35.1984,44.2540,2.9713,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,16/03/17 05:00:00,82.7576,0.0256,11.3944,11.4200,5.3696,243.5507,54.5589,35.2657,44.3224,2.7815,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,17/03/17 05:00:00,83.0378,0.0064,11.2619,11.2683,5.2463,241.9569,54.3992,35.2864,44.3960,1.6490,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,18/03/17 05:00:00,82.6009,0.0046,11.6509,11.6555,5.3003,237.0347,47.2088,35.1485,44.1620,2.2242,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,19/03/17 05:00:00,82.5159,0.0038,11.8504,11.8542,5.1948,234.5039,50.5070,35.0413,44.0179,2.1438,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,20/03/17 05:00:00,82.4707,0.0063,12.0070,12.0133,5.0983,240.0278,53.6110,34.9434,43.8941,1.7421,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,21/03/17 05:00:00,82.4317,0.0184,12.1298,12.1482,4.9978,240.9032,56.5102,34.8667,43.7914,2.1065,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,15/03/17 09:00:00,82.7788,0.0133,11.4784,11.4917,5.3082,237.4316,52.6272,35.1984,44.2540,2.9713,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,16/03/17 09:00:00,82.7576,0.0256,11.3944,11.4200,5.3696,243.5507,54.5589,35.2657,44.3224,2.7815,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,17/03/17 09:00:00,83.0378,0.0064,11.2619,11.2683,5.2463,241.9569,54.3992,35.2864,44.3960,1.6490,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,18/03/17 09:00:00,82.6009,0.0046,11.6509,11.6555,5.3003,237.0347,47.2088,35.1485,44.1620,2.2242,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,19/03/17 09:00:00,82.5159,0.0038,11.8504,11.8542,5.1948,234.5039,50.5070,35.0413,44.0179,2.1438,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,20/03/17 09:00:00,82.4707,0.0063,12.0070,12.0133,5.0983,240.0278,53.6110,34.9434,43.8941,1.7421,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,21/03/17 09:00:00,82.4317,0.0184,12.1298,12.1482,4.9978,240.9032,56.5102,34.8667,43.7914,2.1065,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,15/03/17 09:00:00,89.0093,0.1452,2.0648,2.2100,8.0410,217.2604,22.7695,39.6770,50.7364,0.0787,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,16/03/17 09:00:00,90.1913,0.2174,1.9973,2.2148,7.0158,213.6309,22.7212,39.2890,50.4964,0.0866,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,17/03/17 09:00:00,89.8712,0.1649,1.9471,2.1119,7.4682,214.0733,22.8346,39.4379,50.6393,0.0780,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,18/03/17 09:00:00,89.8820,0.1366,1.8649,2.0016,7.6225,213.5991,22.7020,39.4892,50.7243,0.1077,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,19/03/17 09:00:00,89.6322,0.0979,2.0078,2.1056,7.7065,215.0715,22.1608,39.5151,50.7016,0.0764,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,20/03/17 09:00:00,90.2138,0.1684,1.9584,2.1268,7.1591,212.9398,23.6798,39.3158,50.5623,0.0997,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,21/03/17 09:00:00,90.4104,0.1681,1.8519,2.0201,7.1325,212.4790,24.2611,39.3109,50.6072,0.1217,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,15/03/17 09:00:00,94.4207,0.1023,2.9554,3.0577,2.1393,263.2511,9.1883,37.4880,49.0976,0.1263,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,16/03/17 09:00:00,94.4903,0.1099,3.0300,3.1399,1.9982,263.4052,9.0872,37.4111,49.0140,0.1207,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,17/03/17 09:00:00,94.5442,0.1144,2.9074,3.0218,2.0443,263.6916,9.3583,37.4815,49.1071,0.1253,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,18/03/17 09:00:00,94.4862,0.1120,2.9503,3.0623,2.0623,264.4351,9.7911,37.4698,49.0827,0.1284,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,19/03/17 09:00:00,94.5439,0.1109,2.8462,2.9572,2.0483,263.2583,9.5326,37.5470,49.1751,0.1249,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,20/03/17 09:00:00,94.4005,0.1025,3.1253,3.2278,1.9910,263.0157,9.4250,37.3824,48.9595,0.1232,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,21/03/17 09:00:00,93.9228,0.0945,3.5170,3.6116,2.0888,262.5053,9.3915,37.2620,48.7199,0.1240,
S-CMBGN031-TR07,CRE 56 San Pablo Rincón Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,15/03/17 05:00:00,99.2180,0.1174,0.1466,0.2641,0.2434,254.4538,26.7142,37.9359,50.6454,1.6325,
S-CMBGN031-TR07,CRE 56 San Pablo Rincón Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,16/03/17 05:00:00,99.2196,0.1176,0.1460,0.2636,0.2424,254.8779,28.4899,37.9356,50.6455,1.6248,
S-CMBGN031-TR07,CRE 56 San Pablo Rincón Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,17/03/17 05:00:00,99.2223,0.1159,0.1458,0.2617,0.2419,254.4285,27.8898,37.9360,50.6470,1.6451,
S-CMBGN031-TR07,CRE 56 San Pablo Rincón Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,18/03/17 05:00:00,99.2242,0.1168,0.1448,0.2616,0.2406,254.7608,28.2393,37.9353,50.6464,1.6060,
S-CMBGN031-TR07,CRE 56 San Pablo Rincón Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,19/03/17 05:00:00,99.2136,0.1198,0.1474,0.2672,0.2442,254.7134,28.8155,37.9355,50.6432,1.6025,
S-CMBGN031-TR07,CRE 56 San Pablo Rincón Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,20/03/17 05:00:00,99.2140,0.1196,0.1474,0.2671,0.2451,254.0336,27.1363,37.9347,50.6424,1.6500,
S-CMBGN031-TR07,CRE 56 San Pablo Rincón Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,21/03/17 05:00:00,99.4911,0.1200,0.0587,0.1787,0.0919,254.2298,47.4120,37.8914,50.6608,0.8958,
S-CMBGN041-TR10,CRE 58 Cauchy,Pto. de Calidad Campo Cauchy T.R.,15/03/17 05:00:00,98.5733,0.1208,0.2624,0.3833,0.6338,259.3478,0.0958,38.1279,50.6911,1.9135,
S-CMBGN041-TR10,CRE 58 Cauchy,Pto. de Calidad Campo Cauchy T.R.,16/03/17 05:00:00,98.5751,0.1208,0.2631,0.3839,0.6317,260.1777,0.0967,38.1274,50.6892,1.9682,
S-CMBGN041-TR10,CRE 58 Cauchy,Pto. de Calidad Campo Cauchy T.R.,17/03/17 05:00:00,98.5773,0.1207,0.2623,0.3830,0.6305,261.7588,0.0760,38.1278,50.6898,1.9585,
S-CMBGN041-TR10,CRE 58 Cauchy,Pto. de Calidad Campo Cauchy T.R.,18/03/17 05:00:00,98.5706,0.1211,0.2649,0.3860,0.6339,258.8873,0.0758,38.1267,50.6881,2.0372,
S-CMBGN041-TR10,CRE 58 Cauchy,Pto. de Calidad Campo Cauchy T.R.,19/03/17 05:00:00,98.5843,0.1204,0.2644,0.3848,0.6263,257.9190,0.0781,38.1209,50.6801,2.0221,
S-CMBGN041-TR10,CRE 58 Cauchy,Pto. de Calidad Campo Cauchy T.R.,20/03/17 05:00:00,98.5677,0.1208,0.2639,0.3848,0.6364,259.2174,0.0804,38.1285,50.6953,1.9343,
S-CMBGN041-TR10,CRE 58 Cauchy,Pto. de Calidad Campo Cauchy T.R.,21/03/17 05:00:00,98.5671,0.1210,0.2638,0.3848,0.6365,258.9149,0.0754,38.1293,50.6895,2.0617,
S-CMEGN021-TR02,CRE 48 El Veinte,Pto. de Calidad Campo Veinte T.R.,15/03/17 05:00:00,98.3942,0.2084,0.2472,0.4556,0.8740,224.7018,9.5918,38.0658,50.6048,2.0005,
S-CMEGN021-TR02,CRE 48 El Veinte,Pto. de Calidad Campo Veinte T.R.,16/03/17 05:00:00,98.3877,0.2099,0.2471,0.4570,0.8750,226.1451,10.2482,38.0691,50.6056,1.8683,
S-CMEGN021-TR02,CRE 48 El Veinte,Pto. de Calidad Campo Veinte T.R.,17/03/17 05:00:00,98.4113,0.1978,0.2481,0.4459,0.8677,226.5771,9.6945,38.0673,50.6128,1.9583,
S-CMEGN021-TR02,CRE 48 El Veinte,Pto. de Calidad Campo Veinte T.R.,18/03/17 05:00:00,98.4108,0.2056,0.2472,0.4529,0.8636,226.0294,9.7845,38.0611,50.6041,1.8598,
S-CMEGN021-TR02,CRE 48 El Veinte,Pto. de Calidad Campo Veinte T.R.,19/03/17 05:00:00,98.3973,0.2025,0.2491,0.4516,0.8745,225.4279,10.4736,38.0679,50.6093,1.9547,
S-CMEGN021-TR02,CRE 48 El Veinte,Pto. de Calidad Campo Veinte T.R.,20/03/17 05:00:00,98.4258,0.1804,0.2510,0.4315,0.8704,227.3514,10.4972,38.0712,50.6262,2.0967,
S-CMEGN021-TR02,CRE 48 El Veinte,Pto. de Calidad Campo Veinte T.R.,21/03/17 05:00:00,98.4329,0.1769,0.2511,0.4279,0.8712,228.4352,11.0280,38.0686,50.6273,2.1150,
S-CMEGN230-TR09,CRE 51 Papan,Pto. de Calidad Iny. PEP PAPAN,15/03/17 05:00:00,,,,,,,,,,,
S-CMEGN230-TR09,CRE 51 Papan,Pto. de Calidad Iny. PEP PAPAN,16/03/17 05:00:00,,,,,,,,,,,
S-CMEGN230-TR09,CRE 51 Papan,Pto. de Calidad Iny. PEP PAPAN,17/03/17 05:00:00,,,,,,,,,,,
S-CMEGN230-TR09,CRE 51 Papan,Pto. de Calidad Iny. PEP PAPAN,18/03/17 05:00:00,,,,,,,,,,,
S-CMEGN230-TR09,CRE 51 Papan,Pto. de Calidad Iny. PEP PAPAN,19/03/17 05:00:00,,,,,,,,,,,
S-CMEGN230-TR09,CRE 51 Papan,Pto. de Calidad Iny. PEP PAPAN,20/03/17 05:00:00,,,,,,,,,,,
S-CMEGN230-TR09,CRE 51 Papan,Pto. de Calidad Iny. PEP PAPAN,21/03/17 05:00:00,,,,,,,,,,,
S-GUBGN030-TR01,CRE 23 Guadalajara,Pto. de Calidad El Castillo T.R.,15/03/17 09:00:00,95.6810,0.0000,0.0416,0.0416,3.8735,203.8620,0.0606,39.1171,51.4429,0.1199,
S-GUBGN030-TR01,CRE 23 Guadalajara,Pto. de Calidad El Castillo T.R.,16/03/17 09:00:00,95.6773,0.0000,0.0409,0.0409,3.8774,203.8803,0.0557,39.1188,51.4442,0.0730,
S-GUBGN030-TR01,CRE 23 Guadalajara,Pto. de Calidad El Castillo T.R.,17/03/17 09:00:00,95.6707,0.0000,0.0400,0.0400,3.8841,203.9091,0.0559,39.1215,51.4461,0.0753,
S-GUBGN030-TR01,CRE 23 Guadalajara,Pto. de Calidad El Castillo T.R.,18/03/17 09:00:00,95.9318,0.0000,0.0705,0.0705,3.6572,202.3744,0.0661,39.0030,51.3662,0.1029,
S-GUBGN030-TR01,CRE 23 Guadalajara,Pto. de Calidad El Castillo T.R.,19/03/17 09:00:00,95.9699,0.0000,0.0621,0.0621,3.6495,202.0291,0.0660,38.9893,51.3626,0.1165,
S-GUBGN030-TR01,CRE 23 Guadalajara,Pto. de Calidad El Castillo T.R.,20/03/17 09:00:00,95.9600,0.0000,0.0590,0.0590,3.6614,202.0734,0.0556,38.9946,51.3670,0.1162,
S-GUBGN030-TR01,CRE 23 Guadalajara,Pto. de Calidad El Castillo T.R.,21/03/17 09:00:00,95.9538,0.0000,0.0562,0.0562,3.6695,202.1043,0.0000,38.9985,51.3705,0.0087,
S-HEBGN252-TR04,CRE 65 Naco-Hermosillo,Pto. de Calidad PR Fenosa T.R.,15/03/17 09:00:00,90.6201,0.2765,1.8835,2.1600,6.6074,212.9499,6.9031,39.2112,50.4623,0.4069,
S-HEBGN252-TR04,CRE 65 Naco-Hermosillo,Pto. de Calidad PR Fenosa T.R.,16/03/17 09:00:00,90.7761,0.2431,1.8037,2.0468,6.5249,213.2007,8.0560,39.2395,50.5294,0.4654,
S-HEBGN252-TR04,CRE 65 Naco-Hermosillo,Pto. de Calidad PR Fenosa T.R.,17/03/17 09:00:00,90.1071,0.1583,1.9486,2.1068,7.0183,215.3285,7.3796,39.4388,50.6428,0.4319,
S-HEBGN252-TR04,CRE 65 Naco-Hermosillo,Pto. de Calidad PR Fenosa T.R.,18/03/17 09:00:00,90.0421,0.1580,2.0312,2.1892,7.0358,215.0174,7.2857,39.3926,50.5802,0.4478,
S-HEBGN252-TR04,CRE 65 Naco-Hermosillo,Pto. de Calidad PR Fenosa T.R.,19/03/17 09:00:00,90.6115,0.2256,1.9693,2.1948,6.6002,212.6198,6.0376,39.1848,50.4435,0.4294,
S-HEBGN252-TR04,CRE 65 Naco-Hermosillo,Pto. de Calidad PR Fenosa T.R.,20/03/17 09:00:00,90.6445,0.1506,1.8904,2.0410,6.7683,212.2062,7.5232,39.2606,50.5728,0.4567,
S-HEBGN252-TR04,CRE 65 Naco-Hermosillo,Pto. de Calidad PR Fenosa T.R.,21/03/17 09:00:00,90.6135,0.1164,1.8495,1.9660,6.8959,212.1907,7.2114,39.3124,50.6438,0.4430,
S-MABGN040-TR06,CRE 13 Madero II,Pto. de Calidad El Blanco T.R.,15/03/17 09:00:00,95.7740,0.8070,0.2641,1.0711,2.9346,255.5993,22.5993,38.3591,50.3411,1.8055,
S-MABGN040-TR06,CRE 13 Madero II,Pto. de Calidad El Blanco T.R.,16/03/17 09:00:00,95.8301,0.8231,0.2463,1.0693,2.8862,255.5821,32.3915,38.3430,50.3289,1.9137,
S-MABGN040-TR06,CRE 13 Madero II,Pto. de Calidad El Blanco T.R.,17/03/17 09:00:00,95.7744,0.8095,0.2746,1.0841,2.9114,256.7690,22.3355,38.3558,50.3326,1.8701,
S-MABGN040-TR06,CRE 13 Madero II,Pto. de Calidad El Blanco T.R.,18/03/17 09:00:00,95.6740,0.8261,0.2922,1.1182,2.9765,255.2383,23.2580,38.3604,50.3156,1.8163,
S-MABGN040-TR06,CRE 13 Madero II,Pto. de Calidad El Blanco T.R.,19/03/17 09:00:00,95.4265,0.8840,0.2755,1.1595,3.1701,255.7900,19.5361,38.4082,50.3103,0.4577,
S-MABGN040-TR06,CRE 13 Madero II,Pto. de Calidad El Blanco T.R.,20/03/17 09:00:00,95.6402,0.8703,0.2443,1.1146,2.9755,259.3044,24.9780,38.3891,50.3229,0.4434,
S-MABGN040-TR06,CRE 13 Madero II,Pto. de Calidad El Blanco T.R.,21/03/17 09:00:00,95.8552,0.8353,0.2411,1.0764,2.8310,254.8447,22.9650,38.3380,50.3198,0.4437,
S-MABGN050-TR07,CRE 12 Madero I,Pto. de Calidad Lomas del Real T.R.,15/03/17 09:00:00,95.7163,0.8144,0.2739,1.0883,2.9697,251.6067,7.3136,38.3616,50.3330,0.6943,
S-MABGN050-TR07,CRE 12 Madero I,Pto. de Calidad Lomas del Real T.R.,16/03/17 09:00:00,95.7731,0.8298,0.2601,1.0898,2.9152,252.4207,7.0537,38.3440,50.3185,0.7525,
S-MABGN050-TR07,CRE 12 Madero I,Pto. de Calidad Lomas del Real T.R.,17/03/17 09:00:00,95.7036,0.8140,0.2895,1.1035,2.9532,253.0570,8.1248,38.3613,50.3258,0.7479,
S-MABGN050-TR07,CRE 12 Madero I,Pto. de Calidad Lomas del Real T.R.,18/03/17 09:00:00,95.6021,0.8382,0.3058,1.1440,3.0168,252.2722,6.8801,38.3615,50.3016,0.7339,
S-MABGN050-TR07,CRE 12 Madero I,Pto. de Calidad Lomas del Real T.R.,19/03/17 09:00:00,95.3402,0.8887,0.2879,1.1766,3.2193,252.4359,7.4826,38.4233,50.3100,0.9121,
S-MABGN050-TR07,CRE 12 Madero I,Pto. de Calidad Lomas del Real T.R.,20/03/17 09:00:00,95.6023,0.8815,0.2523,1.1339,3.0009,255.0843,6.9081,38.3793,50.3059,0.7950,
S-MABGN050-TR07,CRE 12 Madero I,Pto. de Calidad Lomas del Real T.R.,21/03/17 09:00:00,95.6329,0.8498,0.2446,1.0944,3.0280,248.6214,7.7079,38.3882,50.3369,0.7775,
S-MABGN160-TR03,CRE Iberdrola Altamira,Pto. de Calidad IBERDROLA T.R.,15/03/17 09:00:00,95.7019,0.8235,0.2746,1.0980,2.9953,218.9285,0.0003,38.3580,50.3224,0.0103,
S-MABGN160-TR03,CRE Iberdrola Altamira,Pto. de Calidad IBERDROLA T.R.,16/03/17 09:00:00,95.7621,0.8381,0.2597,1.0979,2.9393,219.3876,0.0003,38.3408,50.3091,0.0149,
S-MABGN160-TR03,CRE Iberdrola Altamira,Pto. de Calidad IBERDROLA T.R.,17/03/17 09:00:00,95.6946,0.8234,0.2894,1.1128,2.9768,220.2862,0.0003,38.3565,50.3146,0.0188,
