Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,Azufre Total
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 9:00,86.9596,0.0204,8.5607,8.5811,3.9884,239.3835,147.385,36.0513,45.9145,1.7806,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 9:00,86.6343,0.0252,8.7522,8.7774,4.1012,240.1842,134.7209,36.0178,45.8149,1.4307,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 9:00,85.9693,0.0224,9.4935,9.5159,3.974,240.6998,99.9396,35.7286,45.3417,1.2505,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 9:00,86.4705,0.0586,9.222,9.2806,3.7964,242.0315,101.547,35.7132,45.4162,2.3096,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,7/5/2017 9:00,84.0572,0.0323,8.7989,8.8312,6.5174,246.044,133.0612,36.7929,46.2843,3.0491,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,8/5/2017 9:00,86.8166,0.0151,8.6111,8.6262,4.0522,241.4145,130.7879,36.0802,45.9159,1.5355,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,9/5/2017 9:00,86.634,0.0277,8.6773,8.705,4.1346,240.784,126.9188,36.0805,45.8612,1.5741,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,10/5/2017 9:00,86.7031,0.0485,8.4469,8.4954,4.2506,241.8508,153.3058,36.2218,46.0505,2.2406,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,11/5/2017 9:00,86.6786,0.0303,8.6431,8.6734,4.1182,241.7798,117.8475,36.1014,45.9077,2.0462,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,12/5/2017 9:00,86.0171,0.0293,9.4165,9.4457,4.0184,240.8659,187.2711,35.769,45.383,2.346,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,13/05/17 09:00:00,86.5224,0.0099,9.0005,9.0104,3.9565,241.5249,123.9658,35.9125,45.6591,1.4671,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,14/05/17 09:00:00,86.7564,0.0011,8.8322,8.8334,3.9074,242.0414,119.9496,35.9614,45.7616,1.0887,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,1/5/2017 5:00,88.1243,0.0445,7.9964,8.0409,3.5862,223.1151,85.1365,35.9175,46.0436,1.9745,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,2/5/2017 5:00,87.7346,0.0715,8.1973,8.2688,3.744,220.984,80.732,35.875,45.9199,2.4855,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,3/5/2017 5:00,87.4806,0.0221,8.45,8.4721,3.7912,218.5296,74.2027,35.812,45.8092,1.881,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,4/5/2017 5:00,87.4639,0.03,8.3965,8.4265,3.8421,221.4577,78.6927,35.8524,45.8513,1.519,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,5/5/2017 5:00,87.1144,0.0242,9.1529,9.1772,3.4705,220.9525,89.5218,35.4464,45.2958,1.4455,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,6/5/2017 5:00,87.6566,0.0623,8.7963,8.8586,3.2716,222.7593,85.1819,35.494,45.444,2.0565,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,7/5/2017 5:00,84.273,0.0426,8.0473,8.0898,7.3515,224.2451,132.6444,36.99,46.7016,2.4854,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,8/5/2017 5:00,87.9924,0.0125,8.0387,8.0512,3.6934,219.2646,108.5161,35.9533,46.0689,1.5867,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,9/5/2017 5:00,87.8216,0.0304,8.1404,8.1708,3.7472,222.6515,107.8967,35.9228,45.9979,1.8237,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,10/5/2017 5:00,87.6603,0.0554,8.0208,8.0762,3.981,224.1541,110.3434,36.0385,46.104,2.3324,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,11/5/2017 5:00,87.8878,0.0258,7.9987,8.0246,3.8241,220.306,90.9612,35.9989,46.1057,1.8743,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,12/5/2017 5:00,87.2492,0.0273,8.6525,8.6798,3.8115,221.9639,121.2472,35.7439,45.6822,4.6518,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,13/05/17 05:00:00,87.8605,0.0138,8.1528,8.1666,3.7018,222.9979,114.5935,35.9169,45.9993,3.1585,
S-CABGN072-TR02,CRE 38 CPG Cactus,Pto. de Calidad Cactus,14/05/17 05:00:00,88.0611,0.0003,8.1547,8.155,3.5314,227.8176,111.0775,35.863,45.9725,2.8153,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,1/5/2017 5:00,83.064,0.0147,11.4999,11.5147,5.027,231.1792,55.0667,35.0916,44.1747,2.6195,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,2/5/2017 5:00,81.1738,0.0246,13.4619,13.4865,4.9255,227.2704,60.4558,34.3267,42.9448,4.3038,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,3/5/2017 5:00,81.4373,0.0167,13.1638,13.1805,4.9797,227.7451,57.4285,34.448,43.1375,1.8843,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,4/5/2017 5:00,80.7269,0.0083,13.6351,13.6434,5.186,230.0298,59.7489,34.3611,42.9152,1.4662,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,5/5/2017 5:00,79.708,0.0187,14.2571,14.2758,5.3593,236.1986,59.4566,34.3059,42.6526,2.3924,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,6/5/2017 5:00,79.9438,0.0355,14.2604,14.296,5.2951,243.9938,66.9965,34.1613,42.5448,4.0409,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,7/5/2017 5:00,79.7387,0.0298,14.6158,14.6456,5.1633,241.24,71.2028,33.9828,42.3021,4.7744,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,8/5/2017 5:00,80.2502,0.011,13.9021,13.9131,5.3721,238.1695,74.087,34.3209,42.7922,2.4504,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,9/5/2017 5:00,80.3025,0.0256,13.6967,13.7224,5.4643,233.0917,75.91,34.4487,42.9432,2.8207,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,10/5/2017 5:00,80.7658,0.0336,13.2332,13.2668,5.465,236.6547,78.3249,34.6163,43.2166,3.1258,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,11/5/2017 5:00,80.5492,0.0311,13.5099,13.541,5.4031,235.9709,73.8902,34.498,43.0397,3.5037,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,12/5/2017 5:00,79.6635,0.0229,14.6887,14.7116,5.1596,233.3409,71.9279,33.9603,42.2651,3.0691,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,13/05/17 05:00:00,80.1323,0.0151,14.2186,14.2337,5.1702,233.7346,72.4426,34.1465,42.5602,3.5023,
S-CABGN072-TR03,CRE 40 CPG Nuevo Pemex,Pto. de Calidad Nuevo Pemex T.R.,14/05/17 05:00:00,80.8166,0.0024,12.9279,12.9303,5.2314,236.0992,71.441,35.1155,43.6632,1.5154,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,1/5/2017 5:00,83.064,0.0147,11.4999,11.5147,5.027,231.1792,55.0667,35.0917,44.1748,2.6195,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,2/5/2017 5:00,81.1738,0.0246,13.4619,13.4865,4.9255,227.2704,60.4558,34.3267,42.9448,4.3038,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,3/5/2017 5:00,81.4373,0.0167,13.1638,13.1805,4.9797,227.7451,57.4285,34.448,43.1375,1.8843,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,4/5/2017 5:00,80.7269,0.0083,13.6351,13.6434,5.186,230.0298,59.7489,34.3611,42.9153,1.4662,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,5/5/2017 5:00,79.708,0.0187,14.2571,14.2758,5.3593,236.1986,59.4566,34.306,42.6527,2.3924,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,6/5/2017 5:00,79.9438,0.0355,14.2604,14.296,5.2951,243.9938,66.9965,34.1613,42.5447,4.0409,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,7/5/2017 5:00,79.7387,0.0298,14.6158,14.6456,5.1633,241.24,71.2028,33.9828,42.3021,4.7744,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,8/5/2017 5:00,80.2502,0.011,13.9021,13.9131,5.3721,238.1695,74.087,34.321,42.7922,2.4504,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,9/5/2017 5:00,80.3025,0.0256,13.6967,13.7224,5.4643,233.0917,75.91,34.4487,42.9432,2.8207,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,10/5/2017 5:00,80.7658,0.0336,13.2332,13.2668,5.465,236.6547,78.3249,34.6164,43.2167,3.1258,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,11/5/2017 5:00,80.5492,0.0311,13.5099,13.541,5.4031,235.9709,73.8902,34.498,43.0398,3.5037,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,12/5/2017 5:00,79.6635,0.0229,14.6887,14.7116,5.1596,233.3409,71.9279,33.9603,42.265,3.0691,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,13/05/17 05:00:00,80.1323,0.0151,14.2186,14.2337,5.1702,233.7346,72.4426,34.1465,42.5602,3.5023,
S-CABGN090-TR01,CRE 37 CPG Ciudad Pemex,Pto. de Calidad CD. Pemex T.R.,14/05/17 05:00:00,80.8166,0.0024,12.9279,12.9303,5.2314,236.0992,71.441,35.1157,43.6635,1.5154,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,1/5/2017 9:00,83.064,0.0147,11.4999,11.5147,5.027,231.1792,55.0667,35.0917,44.1748,2.6195,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,2/5/2017 9:00,81.1738,0.0246,13.4619,13.4865,4.9255,227.2704,60.4558,34.3267,42.9448,4.3038,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,3/5/2017 9:00,81.4373,0.0167,13.1638,13.1805,4.9797,227.7451,57.4285,34.448,43.1375,1.8843,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,4/5/2017 9:00,80.7269,0.0083,13.6351,13.6434,5.186,230.0298,59.7489,34.3611,42.9153,1.4662,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,5/5/2017 9:00,79.708,0.0187,14.2571,14.2758,5.3593,236.1986,59.4566,34.306,42.6527,2.3924,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,6/5/2017 9:00,79.9438,0.0355,14.2604,14.296,5.2951,243.9938,66.9965,34.1613,42.5447,4.0409,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,7/5/2017 9:00,79.7387,0.0298,14.6158,14.6456,5.1633,241.24,71.2028,33.9828,42.3021,4.7744,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,8/5/2017 9:00,80.2502,0.011,13.9021,13.9131,5.3721,238.1695,74.087,34.321,42.7922,2.4504,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,9/5/2017 9:00,80.3025,0.0256,13.6967,13.7224,5.4643,233.0917,75.91,34.4487,42.9432,2.8207,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,10/5/2017 9:00,80.7658,0.0336,13.2332,13.2668,5.465,236.6547,78.3249,34.6164,43.2167,3.1258,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,11/5/2017 9:00,80.5492,0.0311,13.5099,13.541,5.4031,235.9709,73.8902,34.498,43.0398,3.5037,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,12/5/2017 9:00,79.6635,0.0229,14.6887,14.7116,5.1596,233.3409,71.9279,33.9603,42.265,3.0691,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,13/05/17 09:00:00,80.1323,0.0151,14.2186,14.2337,5.1702,233.7346,72.4426,34.1465,42.5602,3.5023,
S-CABGN110-TR04,CRE 39 KM-100,Pto. de Calidad Km. 100 T.R.,14/05/17 09:00:00,80.8166,0.0024,12.9279,12.9303,5.2314,236.0992,71.441,35.1157,43.6635,1.5154,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,1/5/2017 9:00,90.6483,0.1579,1.8672,2.0251,6.9215,227.3247,39.7489,39.229,50.5606,0.0877,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,2/5/2017 9:00,90.419,0.1221,1.9419,2.064,7.1012,235.9144,46.3094,39.2723,50.5764,0.0844,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,3/5/2017 9:00,90.322,0.1042,1.927,2.0312,7.1945,239.9871,47.5988,39.3346,50.6306,0.0988,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,4/5/2017 9:00,89.936,0.1007,1.9816,2.0823,7.5414,213.1056,42.429,39.4049,50.6489,0.0912,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,5/5/2017 9:00,89.917,0.0889,1.9159,2.0048,7.6704,212.6413,32.3091,39.4487,50.7111,0.0739,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,6/5/2017 9:00,90.0722,0.1126,1.9765,2.0891,7.4134,213.1251,27.8186,39.355,50.6147,0.0828,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,7/5/2017 9:00,90.2154,0.1372,1.9805,2.1177,7.2292,212.8448,27.3649,39.2993,50.5644,0.0855,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,8/5/2017 9:00,90.1172,0.1274,1.9976,2.125,7.3044,214.7325,25.1821,39.3294,50.5806,0.1019,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,9/5/2017 9:00,90.118,0.0833,1.8937,1.977,7.4319,219.9111,40.6902,39.4339,50.7161,0.117,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,10/5/2017 9:00,89.5997,0.1035,1.9847,2.0882,7.8008,214.9193,40.1208,39.519,50.7105,0.1016,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,11/5/2017 9:00,89.6768,0.1182,1.9949,2.1131,7.7373,214.2759,45.3391,39.4688,50.6676,0.0959,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,12/5/2017 9:00,89.9438,0.1571,1.9446,2.1017,7.5,242.0563,52.8183,39.3959,50.622,0.0832,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,13/05/17 09:00:00,90.1437,0.1429,1.8911,2.034,7.3817,247.7468,61.0373,39.3812,50.6469,0.0846,
S-CHBGN060-TR01,CRE 11 Chihuahua (Avalos),Pto. de Calidad Terminal Avalos T.R.,14/05/17 09:00:00,90.5239,0.157,1.8961,2.0532,7.0031,247.853,65.957,39.2544,50.5628,0.0697,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,1/5/2017 9:00,95.1917,0.1078,2.5229,2.6307,1.7922,265.1705,10.8397,37.5564,49.3281,3.0315,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,2/5/2017 9:00,93.7942,0.0938,3.5644,3.6582,2.1698,263.3765,10.5595,37.2676,48.7028,4.2476,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,3/5/2017 9:00,93.7624,0.0987,3.7105,3.8093,2.0669,263.9106,10.3178,37.171,48.5776,4.7847,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,4/5/2017 9:00,93.208,0.1009,4.1884,4.2893,2.1439,263.2841,11.2055,37.0075,48.2691,6.0742,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,5/5/2017 9:00,93.0319,0.0877,4.287,4.3747,2.2359,261.4851,12.0121,37.0011,48.2311,3.0371,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,6/5/2017 9:00,92.6042,0.0904,4.6499,4.7404,2.2913,261.6197,11.3615,36.8812,47.9999,3.4509,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,7/5/2017 9:00,92.331,0.0877,4.9507,5.0383,2.2391,261.9021,10.6373,36.7718,47.8058,3.0904,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,8/5/2017 9:00,92.8976,0.107,4.5351,4.6421,2.1031,262.901,11.4371,36.8625,48.0271,5.329,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,9/5/2017 9:00,91.8871,0.0981,4.4257,4.5237,3.2112,263.2283,11.8104,37.2349,48.3054,6.7538,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,10/5/2017 9:00,93.0447,0.0877,4.2942,4.3819,2.2047,263.5364,12.3864,36.9968,48.2253,3.7201,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,11/5/2017 9:00,92.9426,0.0918,4.3236,4.4154,2.2683,262.811,13.8004,37.0054,48.2151,4.5208,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,12/5/2017 9:00,93.2374,0.1018,4.0239,4.1257,2.2555,264.6529,13.5934,37.1169,48.4058,5.6357,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,13/05/17 09:00:00,93.6242,0.0981,3.8122,3.9102,2.0947,264.2286,13.6258,37.1458,48.5183,5.0856,
S-CMBGN030-TR01,CRE 26 Ciudad Mendoza,Pto. de Calidad Cd. Mendoza T.R.,14/05/17 09:00:00,93.2343,0.0961,4.2315,4.3276,2.0665,263.972,13.1843,36.9812,48.2375,5.0531,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,1/5/2017 5:00,99.2074,0.1011,0.1554,0.2565,0.2582,254.5974,30.6979,37.9462,50.659,0.8799,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,2/5/2017 5:00,99.2066,0.1006,0.1556,0.2561,0.2584,255.3205,32.0992,37.9471,50.6598,0.8336,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,3/5/2017 5:00,99.2163,0.0957,0.1539,0.2496,0.2559,254.5805,34.5758,37.948,50.6646,0.8509,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,4/5/2017 5:00,99.2073,0.1003,0.1555,0.2558,0.2587,253.0239,30.6378,37.9462,50.6592,0.8144,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,5/5/2017 5:00,99.2099,0.0977,0.1555,0.2532,0.2583,253.5143,29.082,37.9477,50.6623,0.7785,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,6/5/2017 5:00,99.2095,0.0996,0.1552,0.2548,0.2581,252.1386,29.2053,37.9462,50.6602,0.7417,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,7/5/2017 5:00,99.2071,0.0993,0.1562,0.2554,0.2591,252.9665,30.2469,37.9472,50.6606,0.7528,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,8/5/2017 5:00,99.2174,0.0993,0.1527,0.252,0.254,254.1924,31.2815,37.9452,50.6606,0.7576,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,9/5/2017 5:00,99.2135,0.099,0.1539,0.2529,0.256,253.6859,32.7957,37.9462,50.6611,0.763,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,10/5/2017 5:00,99.2123,0.0973,0.155,0.2524,0.2572,253.6989,31.9573,37.9475,50.6627,0.7624,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,11/5/2017 5:00,99.2161,0.0981,0.1535,0.2515,0.2551,252.826,33.1527,37.9462,50.6621,0.7392,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,12/5/2017 5:00,99.209,0.1099,0.1531,0.263,0.2539,256.062,37.7862,37.9377,50.6461,0.7258,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,13/05/17 05:00:00,99.213,0.094,0.158,0.252,0.262,,31.8304,37.9429,50.6554,0.7115,
S-CMBGN031-TR07,CRE 56 San Pablo Rincon Pacheco,Pto. de Calidad Campo Rincon Pacheco T.R.,14/05/17 05:00:00,99.213,0.094,0.158,0.252,0.262,,29.5706,37.9429,50.6554,0.6929,
