Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 12:00:00,84.6995,0.0000,9.9513,9.9513,4.7980,239.3230,79.2386,35.7916,45.2198,3.0489,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 13:00:00,84.6477,0.0001,9.9514,9.9515,4.8501,233.6627,76.7072,35.8032,45.2272,1.0999,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 14:00:00,84.7292,0.0001,9.8397,9.8398,4.8789,230.8491,73.1703,35.8564,45.3043,1.0089,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 15:00:00,84.5738,0.0000,10.0669,10.0669,4.8088,230.9571,72.8607,35.7506,45.1491,0.9542,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 16:00:00,84.6943,0.0004,9.9568,9.9572,4.7952,231.2258,74.8325,35.7917,45.2175,0.9661,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 17:00:00,84.4020,0.0028,10.2218,10.2246,4.7798,232.7190,87.7956,35.7166,45.0662,0.8878,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 19:00:00,83.9675,0.0082,10.6158,10.6240,4.8308,237.9805,107.6108,35.5680,44.8174,2.0486,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 20:00:00,83.9800,0.0095,10.6723,10.6818,4.7819,234.1580,143.3118,35.5162,44.7617,1.4412,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 21:00:00,83.8280,0.0096,10.8236,10.8331,4.7846,234.0731,130.3862,35.4577,44.6666,1.2331,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 22:00:00,83.8458,0.0103,10.7499,10.7603,4.8388,232.4911,155.0298,35.5009,44.7221,1.2033,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,01/07/17 23:00:00,83.8006,0.0102,10.7292,10.7394,4.8724,232.2532,143.5385,35.5410,44.7560,1.2725,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 00:00:00,83.7913,0.0112,10.8101,10.8213,4.8251,234.8723,96.8890,35.4819,44.6864,3.7776,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 01:00:00,83.9035,0.0114,10.7246,10.7360,4.8102,236.0574,118.2160,35.5001,44.7304,1.9561,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 02:00:00,84.1012,0.0180,10.6017,10.6197,4.7390,233.7201,81.3154,35.5154,44.7830,1.7367,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 03:00:00,84.2247,0.0261,10.4626,10.4888,4.7529,233.0974,78.8487,35.5639,44.8625,1.9055,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 04:00:00,84.2020,0.0266,10.4101,10.4367,4.8237,230.4481,76.5387,35.6038,44.9081,1.8287,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 05:00:00,83.9850,0.0307,10.5437,10.5744,4.8907,231.2055,71.3864,35.5809,44.8403,2.2959,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 06:00:00,83.9671,0.0260,10.4565,10.4826,4.9499,232.4314,68.6813,35.6660,44.9311,2.5337,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 07:00:00,83.9421,0.0223,10.5687,10.5910,4.8950,232.6506,69.5053,35.5900,44.8415,3.4657,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 08:00:00,83.9903,0.0215,10.6155,10.6370,4.8178,236.4080,68.0064,35.5391,44.7912,1.9928,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 09:00:00,83.9824,0.0202,10.7022,10.7225,4.7539,233.2609,65.8998,35.4785,44.7198,1.6080,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 10:00:00,84.0087,0.0198,10.6657,10.6855,4.7459,230.9938,64.0783,35.5039,44.7503,1.4782,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 11:00:00,84.0414,0.0216,10.6528,10.6744,4.7307,233.3551,64.5602,35.5023,44.7530,2.9460,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 12:00:00,84.3934,0.0191,10.3347,10.3538,4.7028,235.5530,65.2728,35.6113,44.9458,1.6790,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 13:00:00,84.4952,0.0280,10.2366,10.2646,4.6943,233.5611,66.1589,35.6394,44.9962,1.4270,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 14:00:00,83.9179,0.0325,10.3110,10.3435,5.1148,232.3609,67.1487,35.7796,45.0561,1.3077,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 15:00:00,83.6853,0.0287,10.5543,10.5830,5.0551,232.2356,68.2059,35.7030,44.9165,1.1111,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 16:00:00,83.5522,0.0254,10.4790,10.5043,5.1994,233.6909,68.0465,35.8205,45.0228,1.7245,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 17:00:00,83.5253,0.0215,10.4153,10.4368,5.2583,234.3485,71.1752,35.8846,45.0905,1.6348,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 18:00:00,83.9889,0.0071,10.5616,10.5686,4.8608,235.9969,100.2845,35.6029,44.8612,3.5474,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 18:00:00,83.5252,0.0209,10.4155,10.4364,5.2592,234.3777,81.3024,35.8840,45.0904,2.6069,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 19:00:00,83.5252,0.0209,10.4155,10.4364,5.2592,234.3777,93.2654,35.8840,45.0904,1.4836,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 20:00:00,83.5584,0.0206,10.2975,10.3181,5.3063,234.6193,104.2592,35.9624,45.1858,1.1413,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 21:00:00,83.6574,0.0136,10.0000,10.0136,5.4026,234.3066,163.5143,36.1663,45.4338,1.1065,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 22:00:00,83.5623,0.0086,9.8942,9.9028,5.5530,234.1789,124.4436,36.2839,45.5523,1.3320,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,02/07/17 23:00:00,83.3778,0.0060,10.0769,10.0829,5.5640,233.1019,115.1197,36.2124,45.4386,1.1561,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 00:00:00,83.2066,0.0082,10.0941,10.1023,5.6705,235.0178,95.6815,36.2684,45.4666,2.4878,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 01:00:00,83.0509,0.0059,10.0367,10.0426,5.8786,236.4414,83.4426,36.3542,45.5447,2.0288,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 02:00:00,83.1584,0.0050,9.8065,9.8115,5.9826,240.3281,80.2245,36.4819,45.7145,1.5831,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 03:00:00,83.0136,0.0042,9.8464,9.8506,6.0516,236.6601,80.3994,36.5049,45.7144,1.2931,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 04:00:00,82.6604,0.0032,10.0232,10.0264,6.1504,235.5470,76.3729,36.5128,45.6528,1.1788,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 05:00:00,81.8369,0.0017,10.5538,10.5555,6.3529,236.0226,69.0195,36.4256,45.3979,1.0874,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 06:00:00,81.8745,0.0016,10.4965,10.4981,6.3992,235.0084,60.1839,36.4442,45.4315,1.1068,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 07:00:00,81.9363,0.0014,10.2566,10.2580,6.5500,235.2842,52.9575,36.5948,45.6181,1.2522,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 08:00:00,81.9510,0.0014,10.1279,10.1294,6.6278,235.5244,48.6356,36.6875,45.7256,1.0154,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 09:00:00,81.8329,0.0012,10.1548,10.1560,6.6345,236.1524,46.3114,36.7331,45.7446,0.8831,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 10:00:00,82.0983,0.0024,10.3033,10.3057,6.2991,237.0955,44.8125,36.5405,45.5649,2.1252,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 11:00:00,82.1324,0.0022,10.5264,10.5286,6.1546,238.4761,43.4185,36.3441,45.3555,1.7603,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 12:00:00,82.0952,0.0026,10.6216,10.6242,6.1228,238.3857,43.9444,36.2802,45.2787,1.2455,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 13:00:00,82.1871,0.0025,10.5515,10.5540,6.1367,237.0870,45.0871,36.2912,45.3121,1.0244,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 14:00:00,83.1724,0.0060,9.1862,9.1922,6.5502,235.4342,46.1248,36.9033,46.2190,1.7970,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 15:00:00,82.8677,0.0164,9.0568,9.0732,6.4480,243.7391,56.5953,37.2816,46.4988,4.5872,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 16:00:00,83.0217,0.0189,8.8559,8.8748,6.3407,248.4759,87.4627,37.4297,46.6668,4.1036,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 17:00:00,82.9510,0.0194,8.8671,8.8865,6.3919,246.2735,114.0962,37.4403,46.6689,3.2613,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 18:00:00,82.8254,0.0212,8.8981,8.9194,6.3916,247.3087,147.9978,37.4983,46.6917,3.0018,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 19:00:00,82.8194,0.0144,9.3311,9.3454,6.1748,244.2089,258.7061,37.1364,46.3034,2.1356,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 20:00:00,83.1099,0.0143,9.1335,9.1479,6.2020,240.5700,255.9453,37.1322,46.3768,1.7640,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 21:00:00,83.2188,0.0134,9.1462,9.1597,6.0860,241.8221,195.3895,37.0946,46.3487,3.9449,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 22:00:00,83.3084,0.0151,9.0056,9.0207,6.0562,243.4240,205.0568,37.2011,46.4684,2.7171,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,03/07/17 23:00:00,83.2476,0.0155,9.0903,9.1058,6.0377,244.1293,256.5063,37.1623,46.4112,2.1515,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 00:00:00,83.2111,0.0165,9.0966,9.1131,6.0841,244.6611,245.2041,37.1586,46.4060,2.2493,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 01:00:00,83.1164,0.0166,9.0244,9.0410,6.2124,246.0649,272.8947,37.2458,46.4885,1.3959,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 02:00:00,83.2783,0.0184,9.0386,9.0569,6.0790,244.5756,258.0505,37.1728,46.4362,2.3233,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 03:00:00,83.2366,0.0200,8.7389,8.7589,6.2025,249.5512,153.0580,37.4796,46.7420,3.3387,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 04:00:00,83.2805,0.0321,8.7893,8.8214,6.0966,248.8322,151.8636,37.4231,46.6801,2.7319,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 05:00:00,83.3840,0.0415,8.6748,8.7164,6.1491,249.5098,168.1795,37.4435,46.7317,2.6880,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 06:00:00,83.4933,0.0437,8.7376,8.7813,6.0372,248.0453,178.7083,37.3412,46.6423,2.5057,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 07:00:00,83.6178,0.0400,8.7891,8.8290,5.9890,244.4327,175.9721,37.2229,46.5499,2.0709,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 08:00:00,83.5133,0.0376,8.8858,8.9234,6.0080,244.0053,160.0746,37.1854,46.4916,4.4324,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 09:00:00,83.4870,0.0347,8.9893,9.0240,5.9894,241.9354,141.7169,37.0970,46.3982,3.6268,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 10:00:00,83.3751,0.0332,9.0432,9.0763,6.0819,240.1264,127.6876,37.0756,46.3651,2.7963,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 11:00:00,83.5785,0.0284,9.0354,9.0638,5.9758,240.2617,113.7620,36.9944,46.3200,2.2573,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 12:00:00,83.5308,0.0261,9.1067,9.1328,5.9761,238.3664,106.2453,36.9509,46.2665,1.0741,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 13:00:00,84.1223,0.0204,9.2283,9.2487,5.4542,235.5107,104.1906,36.6487,46.0320,0.4090,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 14:00:00,84.0464,0.0291,9.1162,9.1453,5.5640,241.3044,101.9156,36.7789,46.1523,4.8672,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 15:00:00,83.9968,0.0199,9.2216,9.2416,5.5378,242.3297,104.5572,36.7173,46.0782,2.3111,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 16:00:00,83.5465,0.0181,9.7490,9.7671,5.5366,239.3786,152.4271,36.4724,45.7217,1.0684,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 17:00:00,82.9207,0.0190,9.7607,9.7797,5.9052,243.3704,225.4899,36.7298,45.8802,0.8747,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 18:00:00,83.1388,0.0171,9.8358,9.8529,5.8547,237.3556,191.1402,36.5183,45.7189,0.5124,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 19:00:00,83.8879,0.0160,9.9370,9.9530,5.4711,233.1487,57.9077,36.0703,45.3954,0.2990,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 20:00:00,83.4600,0.0129,10.3475,10.3604,5.4620,236.4068,2.8191,35.9332,45.1527,2.0492,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 21:00:00,82.9735,0.0119,10.7316,10.7434,5.5815,234.6649,0.2604,35.8062,44.9267,1.2209,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 22:00:00,83.6172,0.0098,10.4799,10.4898,5.2620,235.1745,70.4873,35.7728,45.0008,0.7157,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,04/07/17 23:00:00,83.8738,0.0076,10.2842,10.2918,5.2269,235.0992,29.4604,35.8178,45.1055,0.9457,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 00:00:00,83.9212,0.0060,10.3880,10.3940,5.1026,235.1410,42.9184,35.7268,45.0082,0.7576,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 01:00:00,83.8804,0.0062,10.4329,10.4391,5.0909,234.2664,193.7274,35.7137,44.9825,0.7254,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 02:00:00,84.2338,0.0079,10.1280,10.1359,5.0577,234.7946,213.3340,35.8098,45.1595,1.9501,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 03:00:00,84.4866,0.0069,9.9226,9.9295,5.0329,233.4580,203.9064,35.8621,45.2724,2.7525,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 04:00:00,84.6790,0.0058,9.7498,9.7555,5.0170,234.0667,138.4043,35.9189,45.3759,1.4939,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 05:00:00,84.6948,0.0058,9.7681,9.7739,4.9877,232.4928,81.8258,35.8997,45.3565,1.0658,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 06:00:00,84.7550,0.0053,9.6941,9.6994,4.9922,231.7782,76.4351,35.9357,45.4083,0.6546,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 07:00:00,84.8136,0.0041,9.5828,9.5870,5.0224,231.0690,74.1718,36.0055,45.4966,1.1175,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 08:00:00,84.7264,0.0045,9.6544,9.6590,5.0480,233.0190,68.7876,35.9767,45.4503,2.0537,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 09:00:00,84.5402,0.0050,9.7781,9.7831,5.0649,232.1552,67.6630,35.9663,45.3957,1.4124,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 10:00:00,84.5986,0.0063,9.8116,9.8179,4.9995,233.3035,71.9228,35.9168,45.3503,2.3163,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 11:00:00,84.6686,0.0058,9.7691,9.7749,4.9793,235.7163,75.9493,35.9211,45.3697,1.1183,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 12:00:00,84.5005,0.0062,9.9077,9.9139,5.0095,233.3556,78.2514,35.8765,45.2876,0.7741,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 13:00:00,84.3686,0.0071,9.9633,9.9703,5.0680,230.8083,73.9205,35.8832,45.2702,0.7213,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 14:00:00,84.1333,0.0073,10.0659,10.0732,5.1828,231.0968,67.5983,35.8887,45.2345,0.7024,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 15:00:00,83.8652,0.0068,10.2635,10.2704,5.2476,231.3547,63.1248,35.8364,45.1258,0.5068,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 16:00:00,84.1220,0.0071,10.1359,10.1429,5.1308,231.0562,111.5868,35.8426,45.1782,0.6199,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 17:00:00,84.1495,0.0078,10.1601,10.1679,5.0551,232.1029,173.1194,35.8305,45.1605,1.0581,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 18:00:00,85.2548,0.0050,9.3738,9.3788,4.7806,234.4958,94.1178,36.0263,45.5899,1.8118,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 19:00:00,84.2019,0.0054,9.4706,9.4761,5.5938,236.5558,86.7747,36.3080,45.7324,1.2239,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 20:00:00,84.5433,0.0049,9.5591,9.5640,5.2068,232.2782,40.4012,36.1329,45.5867,1.4973,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 21:00:00,84.6708,0.0041,9.3409,9.3449,5.3336,232.0383,31.0461,36.2299,45.7336,1.4098,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 22:00:00,84.5080,0.0048,9.6589,9.6637,5.1987,230.7482,79.9758,36.0560,45.4993,1.2385,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,05/07/17 23:00:00,83.9425,0.0050,9.9674,9.9724,5.4070,231.4534,188.4299,36.0295,45.3640,0.9092,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,06/07/17 00:00:00,83.9909,0.0062,9.8494,9.8557,5.4447,234.1702,196.2718,36.1071,45.4580,2.1412,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,06/07/17 01:00:00,83.3136,0.0048,10.0153,10.0201,5.9292,235.3309,192.5873,36.1997,45.4553,1.8980,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,06/07/17 02:00:00,83.1502,0.0036,10.0094,10.0130,6.0849,235.6004,176.3621,36.2555,45.4941,1.3283,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,06/07/17 03:00:00,84.1695,0.0029,9.5567,9.5596,5.5903,231.5380,73.1820,36.2378,45.6561,1.1634,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,06/07/17 04:00:00,83.8153,0.0025,9.7107,9.7132,5.7808,232.0042,51.1631,36.2419,45.5999,1.0984,,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,06/07/17 05:00:00,83.7771,0.0052,9.6328,9.6380,5.8441,232.1204,49.4207,36.3176,45.6766,1.6200,,
