Punto,Nombre Alterno,Descripcion,Fecha,Metano,Bioxido de Carbono,Nitrogeno,Total Inertes,Etano,Temp. Rocio,Humedad,Poder Calorifico,Indice Woobe,Acido Sulfidrico,Azufre Total
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 8:00,87.523,0.0645,8.1797,8.2442,3.8085,234.513,96.5664,36.0887,46.0628,0.9573,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 9:00,87.4426,0.0721,8.2003,8.2724,3.8435,235.0766,79.6545,36.1015,46.0581,1.1688,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 10:00,87.4341,0.0855,8.2287,8.3142,3.8101,241.5013,80.3813,36.0796,46.0248,3.2965,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 11:00,87.712,0.0631,8.0451,8.1082,3.7496,242.0672,80.4668,36.1287,46.1426,3.337,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 12:00,87.6017,0.0689,8.1827,8.2516,3.7239,236.2223,92.7044,36.0642,46.0434,3.4117,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 13:00,87.5679,0.0892,8.1883,8.2775,3.7321,242.2725,133.4787,36.0587,46.0253,4.9973,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 14:00,87.1962,0.0739,8.2509,8.3248,4.0211,243.9872,103.0609,36.1479,46.0663,3.7801,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 15:00,86.7089,0.0458,8.5469,8.5927,4.1768,241.6278,83.3208,36.139,45.9603,2.171,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 16:00,86.4379,0.0377,8.6925,8.7302,4.2852,245.988,90.7948,36.1364,45.9061,6.2238,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 17:00,86.7746,0.0307,8.5062,8.5369,4.1683,245.2386,120.4029,36.1566,45.9966,3.7951,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 18:00,86.9471,0.0465,8.4784,8.5249,4.0465,241.9691,160.3726,36.0986,45.9614,2.6197,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 19:00,87.017,0.0597,8.4767,8.5364,3.9798,235.0612,160.7911,36.0629,45.9315,2.235,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 20:00,86.9904,0.0729,8.5435,8.6163,3.9254,233.862,147.8137,36.0157,45.8671,1.8099,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 21:00,86.8749,0.0802,8.5608,8.641,3.9749,241.5352,173.8332,36.0537,45.8799,4.6964,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 22:00,86.7851,0.0542,8.7854,8.8396,3.8983,247.6078,177.4944,35.932,45.7296,3.4835,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,2/5/2017 23:00,86.7484,0.049,8.7806,8.8296,3.952,236.7777,142.0175,35.94,45.7398,2.3221,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 0:00,86.7632,0.0536,8.816,8.8697,3.904,233.7514,151.9063,35.9066,45.7018,1.9126,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 1:00,86.5554,0.0381,8.9709,9.009,3.9745,236.3639,132.4319,35.8737,45.6293,0.998,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 2:00,86.4662,0.0347,8.9293,8.9641,4.0662,240.3096,73.8207,35.9472,45.6945,1.075,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 3:00,86.5464,0.0624,8.9357,8.998,4.0004,246.8217,86.8162,35.8831,45.6348,5.8665,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 4:00,86.566,0.057,8.9799,9.0369,3.9553,236.4397,95.7463,35.8451,45.5964,2.8062,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 5:00,86.5849,0.0331,8.9582,8.9913,3.9739,233.5891,92.1356,35.8715,45.636,1.6337,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 6:00,86.6911,0.0204,8.9056,8.926,3.9469,236.1458,95.1996,35.8789,45.6689,1.5956,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 7:00,86.9094,0.0202,8.7672,8.7874,3.8797,239.9564,97.937,35.9025,45.7386,0.9339,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 8:00,86.8502,0.0203,8.799,8.8193,3.8967,236.2574,76.1047,35.9052,45.7276,1.5763,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 9:00,86.8035,0.0257,8.7076,8.7332,4.0121,241.9516,83.19,35.9833,45.8102,4.744,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 10:00,87.0042,0.027,8.6628,8.6898,3.8651,236.3514,108.848,35.9478,45.8045,2.9569,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 11:00,86.9721,0.0277,8.8023,8.83,3.7667,241.2598,107.4216,35.8596,45.6928,1.8598,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 12:00,86.9697,0.0387,8.7117,8.7504,3.8429,235.4984,114.6248,35.9168,45.7583,1.6672,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 13:00,86.9101,0.045,8.5709,8.6159,4.0097,236.3328,100.4024,36.0347,45.8852,1.4469,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 14:00,86.5664,0.0443,8.6289,8.6732,4.2188,244.4115,77.969,36.1367,45.9274,2.9822,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 15:00,86.5904,0.0278,8.5915,8.6194,4.2723,244.8746,89.1779,36.1555,45.964,2.5799,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 16:00,86.5939,0.0284,8.6054,8.6339,4.2575,237.1778,135.0748,36.1428,45.9501,1.8613,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 17:00,86.5442,0.0232,8.6656,8.6888,4.2468,234.4438,228.5901,36.1246,45.918,1.415,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 18:00,86.7838,0.0179,8.5729,8.5908,4.1222,238.7431,200.8036,36.1134,45.9505,0.853,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 19:00,86.8252,0.015,8.6548,8.6698,4.017,241.177,201.0225,36.0437,45.8757,0.8951,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 20:00,86.8706,0.0114,8.665,8.6764,3.9608,247.7315,199.9045,36.0275,45.8634,2.6551,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 21:00,86.9734,0.0133,8.7272,8.7404,3.8355,240.7799,219.5149,35.936,45.7797,2.5732,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 22:00,87.037,0.0084,8.6724,8.6808,3.8206,235.5308,232.4689,35.9608,45.8199,1.3461,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,3/5/2017 23:00,87.1803,0.0118,8.5013,8.5131,3.86,237.5596,225.4666,36.0242,45.9259,1.3719,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 0:00,87.2981,0.0113,8.3653,8.3767,3.8874,240.5656,217.2918,36.077,46.0137,0.7951,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 1:00,87.1737,0.0141,8.3095,8.3236,4.029,235.7578,191.3306,36.1633,46.0888,1.1694,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 2:00,87.228,0.0117,8.2789,8.2906,4.0027,239.8286,145.4053,36.1701,46.1067,1.5334,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 3:00,87.256,0.0169,8.3109,8.3279,3.9504,239.6083,136.9533,36.1347,46.0685,1.8395,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 4:00,87.1589,0.0115,8.4364,8.4479,3.9471,243.6101,132.9047,36.07,45.981,1.5025,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 5:00,87.1076,0.0122,8.4795,8.4917,3.9543,235.6033,137.1813,36.0535,45.953,1.0297,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 6:00,87.0743,0.0111,8.5225,8.5336,3.9403,233.6081,80.6818,36.0363,45.9257,0.7224,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 7:00,87.0686,0.0167,8.5019,8.5187,3.9424,237.7839,83.8857,36.0605,45.9457,1.5049,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 8:00,87.0411,0.0181,8.5114,8.5296,3.9602,245.0135,87.1258,36.059,45.9403,1.4304,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 9:00,87.1535,0.0191,8.4294,8.4485,3.9481,239.7908,91.3065,36.0709,45.9798,1.2522,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 10:00,87.1184,0.0117,8.4349,8.4466,3.9757,235.0397,94.3691,36.0856,45.9914,0.9412,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 11:00,87.0863,0.0142,8.5151,8.5292,3.9197,237.2439,102.0892,36.0456,45.9327,0.6801,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 12:00,86.9664,0.026,8.5315,8.5576,3.9948,239.7174,87.1465,36.0713,45.9352,0.8526,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 13:00,86.9264,0.0254,8.4536,8.4791,4.1142,247.5117,81.8426,36.1373,46.0084,1.6962,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 14:00,86.9067,0.0269,8.29,8.3169,4.2584,242.6384,86.4198,36.2653,46.1534,1.4315,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 15:00,86.7659,0.023,8.3663,8.3893,4.3264,241.6858,131.0016,36.2583,46.1211,1.5552,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 16:00,86.3716,0.0148,8.6771,8.6919,4.4186,240.1985,234.924,36.1709,45.948,1.3346,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 17:00,86.1044,0.0074,8.9485,8.9559,4.413,242.3854,216.6065,36.0721,45.7831,0.66,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 18:00,86.2654,0.0053,8.9876,8.9929,4.2428,234.1187,218.4215,35.9904,45.7169,0.5328,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 19:00,86.3266,0.0089,8.9236,8.9325,4.2152,236.3338,207.8422,36.0245,45.7615,1.0789,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 20:00,86.4237,0.0226,8.8153,8.8379,4.2216,245.8378,205.0218,36.0575,45.8168,2.8593,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 21:00,86.6274,0.0215,8.8194,8.8409,4.0618,246.0775,188.566,35.9712,45.761,1.7966,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 22:00,86.7075,0.0327,8.729,8.7618,4.0628,235.9862,178.2237,35.9976,45.8066,1.4454,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,4/5/2017 23:00,86.5782,0.0361,8.8415,8.8776,4.0738,234.5069,191.5923,35.9561,45.734,1.1535,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 0:00,86.7043,0.0308,8.7804,8.8112,4.0147,236.3522,119.5154,35.9658,45.7673,0.7303,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 1:00,86.5715,0.0335,8.8695,8.9029,4.0304,242.0518,94.8563,35.9565,45.7247,2.6685,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 2:00,86.5581,0.0347,8.984,9.0187,3.9637,245.0091,96.8579,35.8629,45.6194,1.7854,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 3:00,86.3805,0.0332,9.0747,9.1079,4.0409,235.6035,106.4824,35.8568,45.5809,1.3487,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 4:00,86.2913,0.0377,9.0961,9.1338,4.0863,236.2974,104.1841,35.873,45.5802,1.1447,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 5:00,86.4922,0.0382,8.9149,8.9531,4.0771,238.3367,120.9314,35.9309,45.6879,1.1404,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 6:00,86.4905,0.033,8.8671,8.9001,4.1235,244.0834,94.9716,35.9695,45.7343,0.8667,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 7:00,86.6351,0.0351,8.8429,8.878,3.9873,246.8633,88.9383,35.9499,45.73,3.4116,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 8:00,86.7712,0.0322,8.8601,8.8923,3.858,240.7512,91.1899,35.8883,45.6856,1.9694,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 9:00,86.7568,0.035,8.8876,8.9226,3.8621,235.7814,98.9048,35.865,45.6583,1.9025,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 10:00,86.657,0.0302,8.931,8.9612,3.9153,241.4064,101.9959,35.8707,45.6478,1.2305,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 11:00,86.6781,0.0294,8.8997,8.9292,3.9227,240.4644,110.7537,35.8867,45.6708,0.8017,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 12:00,86.5208,0.0266,8.9541,8.9808,3.9871,236.8507,82.5487,35.9148,45.669,0.779,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 13:00,86.3983,0.0367,9.0855,9.1222,3.9658,244.811,80.6637,35.8608,45.577,3.2619,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 14:00,86.1179,0.0235,9.6033,9.6267,3.772,243.6529,98.1728,35.5922,45.2109,1.9525,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 15:00,85.4431,0.0143,10.3495,10.3638,3.7207,240.4791,103.1023,35.2875,44.7301,1.048,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 16:00,85.1499,0.0122,10.4493,10.4615,3.8828,234.7035,116.4424,35.3212,44.7171,0.7681,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 17:00,85.159,0.0084,10.4714,10.4798,3.8455,235.8013,112.4897,35.3143,44.7064,0.3709,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 18:00,85.1934,0.0057,10.4605,10.4661,3.8049,242.3082,96.9913,35.3271,44.7202,1.1591,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 19:00,85.5387,0.0061,10.1355,10.1416,3.8172,248.4621,101.435,35.4265,44.9088,1.3792,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 20:00,85.762,0.0024,9.908,9.9104,3.8176,237.2133,112.9574,35.5145,45.0554,0.9382,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 21:00,85.7488,0.0051,9.6929,9.698,3.9288,235.466,112.6906,35.6973,45.2545,0.8204,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 22:00,86.1191,0.0077,9.3722,9.3799,3.8473,236.8265,125.7236,35.8158,45.4532,0.5635,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,5/5/2017 23:00,85.7002,0.0161,9.2299,9.246,4.2059,240.4594,110.3677,36.1113,45.6921,0.4152,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 0:00,85.6012,0.03,9.1975,9.2275,4.4827,241.9073,78.4639,36.0852,45.6806,1.6209,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 1:00,85.6999,0.0357,9.2414,9.2772,4.4098,245.216,86.0622,35.994,45.602,1.8903,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 2:00,85.7847,0.0344,9.3193,9.3537,4.2906,245.7706,102.8341,35.8994,45.5121,1.4512,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 3:00,85.9554,0.0294,9.3232,9.3527,4.1517,238.9347,110.5451,35.8343,45.4718,0.9056,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 4:00,86.1249,0.0282,9.2485,9.2768,4.0782,237.5335,105.4071,35.8302,45.4989,0.6049,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 5:00,86.0495,0.0274,9.3083,9.3357,4.0465,237.4206,77.5311,35.837,45.4803,0.805,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 6:00,86.2752,0.0339,9.2404,9.2743,3.9521,243.6851,78.2216,35.7861,45.4704,2.6757,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 7:00,86.4224,0.0303,9.2341,9.2644,3.8544,248.2728,94.331,35.7297,45.4389,1.5859,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 8:00,86.4057,0.0297,9.301,9.3306,3.8133,243.3678,99.9153,35.6855,45.3849,1.0814,
S-CABGN060-TR08,"CRE 35 Troncal 48""",Pto. de Calidad Paredón T.R.,6/5/2017 9:00,86.645,0.0253,8.9857,9.011,3.8544,236.932,109.3571,35.8463,45.6137,0.6924,
